customer_id,Last_Order_Date,Frequency,Monetary,Total_Profit,Recency,R_Score,F_Score,M_Score,RFM_Score,Segment,customer_name,gender,age,city,region_id,signup_date,customer_segment
CUST-00001,2025-07-23,1,1779.0,761.91,394,3,1,2,312,Hibernating,Shreya Iyer,Female,39,Cuttack,REG-04,2020-09-20,Consumer
CUST-00002,2024-01-20,2,4937.5,1699.8999999999999,944,1,4,4,144,Can't Lose Them,Kabir Patel,Male,32,Raipur,REG-05,2023-03-30,Consumer
CUST-00003,2025-09-27,1,2598.0,776.1,328,3,1,3,313,Hibernating,Karan Nair,Male,41,Pune,REG-01,2022-05-17,Small Business
CUST-00004,2026-07-22,6,15552.449999999999,5824.3,30,5,5,5,555,Champions,Shreya Deshmukh,Female,50,Gurgaon,REG-02,2023-05-07,Corporate
CUST-00005,2024-12-24,1,2547.0,804.45,605,2,1,2,212,Hibernating,Sai Saxena,Male,31,Bangalore,REG-03,2024-04-05,Small Business
CUST-00006,2026-03-24,1,1514.55,759.25,150,4,1,1,411,New Customers,Priyanka Shah,Female,31,Asansol,REG-04,2025-12-23,Corporate
CUST-00007,2024-09-07,1,1565.1,605.14,713,2,1,1,211,Hibernating,Advik Reddy,Male,51,Hyderabad,REG-03,2022-10-12,Consumer
CUST-00008,2024-03-28,1,2431.5,861.5600000000001,876,1,1,2,112,Lost Customers,Aanya Kapoor,Female,42,Noida,REG-02,2021-01-02,Consumer
CUST-00009,2026-07-16,1,2419.0,874.9300000000001,36,5,1,2,512,Potential Loyalists,Ishaan Kulkarni,Male,28,Asansol,REG-04,2026-05-22,Consumer
CUST-00010,2026-04-08,1,2072.0,786.37,135,4,1,2,412,Potential Loyalists,Ira Kulkarni,Female,39,Kanpur,REG-02,2020-07-19,Consumer
CUST-00011,2022-06-21,1,1965.6,751.33,1522,1,1,2,112,Lost Customers,Ira Malhotra,Female,28,Delhi,REG-02,2021-07-04,Small Business
CUST-00012,2025-05-19,1,3126.2,1047.82,459,2,1,3,213,At Risk,Preeti Mukherjee,Female,28,Coimbatore,REG-03,2024-03-04,Consumer
CUST-00013,2024-08-19,2,4975.1,2034.3,732,2,4,4,244,At Risk,Angel Kapoor,Female,36,Visakhapatnam,REG-03,2023-02-16,Corporate
CUST-00014,2026-07-14,2,3313.25,1193.27,38,5,4,3,543,Loyal Customers,Anika Bhat,Female,18,Gurgaon,REG-02,2023-12-06,Consumer
CUST-00015,2026-07-25,3,7505.25,2260.42,27,5,5,5,555,Champions,Simran Patel,Female,18,Pune,REG-01,2026-04-22,Consumer
